ID	WORD	TRANSLATE	TYPE	COUNT
1	a	неопределенный артикль 	OTHER	0
2	an ability	способность, возможность 	NOUN	0
3	able	знающий, умелый, способный 	OTHER	0
4	about	кругом, повсюду, приблизительно 	OTHER	0
5	about	о, насчет, на тему, касательно 	OTHER	0
6	above	наверху, вверху, выше, над 	OTHER	0
7	abroad	за границей, за границу 	OTHER	0
8	absolutely	совершенно, безусловно 	OTHER	0
9	to accept	принимать, соглашаться, признавать 	VERB	0
10	acceptable	"приемлемый; допустимый "	OTHER	0
11	an accident	несчастный случай, авария 	NOUN	0
12	accidental	случайный 	OTHER	0
13	accidentally	случайно, нечаянно 	OTHER	0
14	an accommodation  	помещение, жилье	NOUN	0
15	according to	в соответствии с, согласно 	OTHER	0
16	an account	счет, расчет, подсчет 	NOUN	0
17	to achieve	добиваться, достигать 	VERB	0
18	an achievement	достижение, успех 	NOUN	0
19	across	поперек, сквозь, через 	OTHER	0
20	to act	действовать, поступать 	VERB	0
21	an action	действие, поступок 	NOUN	0
22	active	активный, деятельный 	OTHER	0
23	an activity	деятельность 	NOUN	0
24	actual	фактический, реальный 	OTHER	0
25	actually	фактически, на самом деле 	OTHER	0
26	to add	прибавлять, присоединять 	VERB	0
27	an address	адрес, обращение, речь 	NOUN	0
28	to address	адресовать, направлять 	VERB	0
29	adjective	имя прилагательное 	OTHER	0
30	to admire	любоваться, восхищаться 	VERB	0
31	to admit	допускать, соглашаться 	VERB	0
32	advanced	передовой, продвинутый 	OTHER	0
33	advantage	преимущество 	OTHER	0
34	an advice	совет 	NOUN	0
35	to advise	советовать, советоваться 	VERB	0
36	to affect	(воз)действовать, влиять  	VERB	0
37	to afford	быть в состоянии, предоставлять 	VERB	0
38	afraid	испуганный 	OTHER	0
39	after	за, позади 	OTHER	0
40	after	после, потом 	OTHER	0
41	afternoon	время после полудня 	OTHER	0
42	afterwards	впоследствии, позднее 	OTHER	0
43	again	еще, вновь, опять 	OTHER	0
44	against	прямо напротив, лицом к 	OTHER	0
45	age	возраст 	OTHER	0
46	ago	тому назад 	OTHER	0
